row_id,F_score,S_score,SDI,WT2
325,0.9583333333333334,0.8875,-0.07083333333333341,1.020530357
326,1.0,0.95,-0.050000000000000044,0.764199323
327,1.0,0.8625,-0.13749999999999996,3.587536551
328,0.375,0.0,-0.375,1.020530357
329,0.9583333333333334,0.725,-0.2333333333333334,1.020530357
330,0.6666666666666666,0.8375,0.1708333333333334,1.505742553
331,1.0,1.0,0.0,1.071922248
332,1.0,1.0,0.0,1.505742553
333,1.0,0.95,-0.050000000000000044,1.020530357
334,1.0,1.0,0.0,0.960863917
335,1.0,0.8375,-0.16249999999999998,0.953582081
336,1.0,0.8625,-0.13749999999999996,1.523108998
337,0.9583333333333334,0.925,-0.033333333333333326,1.020530357
338,0.75,0.7625,0.012499999999999956,0.914757209
339,0.5,0.5,0.0,1.523108998
340,0.9583333333333334,0.8875,-0.07083333333333341,1.071922248
341,0.9166666666666666,0.7,-0.21666666666666667,0.960863917
342,0.9583333333333334,0.975,0.016666666666666607,1.020530357
343,0.9583333333333334,0.8875,-0.07083333333333341,0.676898202
344,1.0,1.0,0.0,1.523108998
345,1.0,1.0,0.0,1.505742553
346,0.875,0.85,-0.025000000000000022,1.071922248
347,1.0,1.0,0.0,0.306045901
348,0.875,0.9125,0.03749999999999998,0.676898202
349,1.0,1.0,0.0,0.490631958
350,0.6666666666666666,0.625,-0.04166666666666663,1.166552835
351,1.0,1.0,0.0,0.676898202
352,0.7916666666666666,0.75,-0.04166666666666663,1.071922248
353,1.0,1.0,0.0,0.960863917
354,1.0,1.0,0.0,0.626056068
355,0.9166666666666666,0.9375,0.02083333333333337,1.166552835
356,0.9583333333333334,0.9125,-0.04583333333333339,1.020530357
357,0.9583333333333334,0.9375,-0.02083333333333337,0.960863917
358,0.9583333333333334,0.975,0.016666666666666607,0.920495927
359,0.75,0.7625,0.012499999999999956,0.306045901
360,1.0,0.95,-0.050000000000000044,0.676898202
361,0.9583333333333334,0.9625,0.004166666666666652,0.960863917
362,0.75,0.5875,-0.16249999999999998,0.914757209
363,0.9166666666666666,0.8375,-0.07916666666666661,0.953582081
364,1.0,1.0,0.0,0.562653276
365,1.0,1.0,0.0,1.505742553
366,0.875,0.75,-0.125,2.125373102
367,0.8333333333333334,0.75,-0.08333333333333337,0.920495927
368,0.5,0.5,0.0,0.764199323
369,1.0,0.975,-0.025000000000000022,1.166552835
370,0.625,0.625,0.0,1.071922248
371,1.0,0.9625,-0.03749999999999998,1.020530357
372,0.7083333333333334,0.75,0.04166666666666663,1.071922248
373,0.875,0.95,0.07499999999999996,1.020530357
374,0.9583333333333334,0.9375,-0.02083333333333337,1.020530357
375,1.0,0.9125,-0.08750000000000002,1.020530357
376,0.8333333333333334,0.8875,0.054166666666666585,0.953582081
377,0.875,0.975,0.09999999999999998,1.020530357
378,0.9583333333333334,0.9125,-0.04583333333333339,1.020530357
379,0.9583333333333334,0.7625,-0.19583333333333341,0.562653276
380,0.75,0.5625,-0.1875,0.914757209
381,0.7916666666666666,0.85,0.05833333333333335,1.015607279
382,0.875,0.8,-0.07499999999999996,1.015607279
383,1.0,1.0,0.0,0.626056068
384,0.875,0.8375,-0.03749999999999998,0.914757209
385,1.0,1.0,0.0,1.523108998
386,1.0,0.9125,-0.08750000000000002,1.505742553
387,1.0,1.0,0.0,0.960863917
388,0.5416666666666666,0.525,-0.016666666666666607,0.798494233
389,1.0,1.0,0.0,1.071922248
390,0.875,0.925,0.050000000000000044,1.224606095
391,0.5833333333333334,0.55,-0.033333333333333326,0.960863917
392,0.75,0.7375,-0.012499999999999956,1.505742553
393,1.0,1.0,0.0,0.960863917
394,0.9583333333333334,0.95,-0.008333333333333415,1.020530357
395,0.875,0.7125,-0.16249999999999998,0.914757209
396,0.75,0.6,-0.15000000000000002,0.914757209
397,0.9583333333333334,0.7625,-0.19583333333333341,0.490631958
398,1.0,1.0,0.0,0.562653276
399,0.7916666666666666,0.7,-0.09166666666666667,0.914757209
400,0.6666666666666666,0.625,-0.04166666666666663,1.505742553
401,0.75,0.5375,-0.21250000000000002,0.764199323
402,1.0,1.0,0.0,0.960863917
403,0.9583333333333334,0.925,-0.033333333333333326,1.020530357
404,0.9583333333333334,0.9375,-0.02083333333333337,0.914757209
405,0.9583333333333334,0.9,-0.05833333333333335,0.676898202
406,0.9583333333333334,0.9375,-0.02083333333333337,1.020530357
407,0.9583333333333334,0.9625,0.004166666666666652,1.020530357
408,0.875,0.75,-0.125,1.505742553
409,0.9166666666666666,0.825,-0.09166666666666667,0.914757209
410,0.5833333333333334,0.5375,-0.04583333333333339,0.920495927
411,1.0,1.0,0.0,0.676898202
412,0.5833333333333334,0.5875,0.004166666666666652,0.920495927
413,0.9166666666666666,0.8125,-0.10416666666666663,1.015607279
414,1.0,0.9625,-0.03749999999999998,1.523108998
415,0.75,0.625,-0.125,1.148582493
416,0.7083333333333334,0.6375,-0.07083333333333341,0.920495927
417,0.9166666666666666,0.8875,-0.029166666666666674,0.920495927
418,0.75,0.9375,0.1875,1.523108998
419,1.0,0.9625,-0.03749999999999998,0.764199323
420,0.875,0.7875,-0.08750000000000002,0.920495927
421,1.0,1.0,0.0,1.020530357
422,0.75,0.8125,0.0625,1.020530357
423,1.0,0.9625,-0.03749999999999998,1.020530357
424,1.0,1.0,0.0,0.960863917
425,0.75,0.7,-0.050000000000000044,1.505742553
426,0.875,0.8625,-0.012499999999999956,0.953582081
427,0.8333333333333334,0.9,0.06666666666666665,0.562653276
428,0.875,0.825,-0.050000000000000044,0.953582081
